P00734	['凝血酶原', '3.4.21.5', '凝血因子II']
P32927	['CDw131', 'IL3RB', 'GM-CSF\\/IL-3\\/IL-5受体共同β亚单位', 'IL5RB', '细胞因子受体共同亚单位β']
P34741	['HSPG1', '硫酸乙酰肝素蛋白多糖核心蛋白', 'SYND2', 'Syndecan-2', '纤维多糖', 'HSPG']
P13727	['骨髓蛋白多糖', 'MBP', 'BMPG', '蛋白多糖2']
P16473	['促甲状腺激素受体', '促甲状腺激素受体', '促甲状腺激素受体', 'LGR3']
P00742	['3.4.21.6', '斯图尔特·普罗威尔系数', '凝血因子X', '斯图尔特因素']
P00740	['3.4.21.22', '血浆凝血活酶组分', 'PTC', '圣诞节因素', '凝血因子IX']
P04275	['血管性血友病因子', 'vWF', 'F8VWF']
O14832	['多环芳烃', 'Phytanoyl CoA双加氧酶，过氧化物酶体', '呸', '植酸酰辅酶Aα羟化酶', '1.14.11.18', '植酸氧化酶']
P07307	['HL-2', '去唾液酸糖蛋白受体2', 'ASGP-R2', '肝凝集素H2', 'CLEC4H2', 'C型凝集素结构域家族4成员H2']
P11021	['BiP', 'GRP-78', '免疫球蛋白重链结合蛋白', '78kDa葡萄糖调节蛋白', '热休克70 kDa蛋白5', 'GRP78', '内质网内腔钙结合蛋白grp78']
P27797	['HACBP', 'CRTC', 'grp60', '钙网蛋白', 'ERp60', 'CRP55', '钙调素', '内质网驻留蛋白60']
P27824	['IP90', '卡尔尼克辛', 'p90', '主要组织相容性复合体I类抗原结合蛋白p88']
P49257	['Gp58', 'F5F8D', '细胞内甘露糖特异性凝集素MR60', 'ERGIC53', '麦角蛋白-53', '凝集素甘露糖结合1', '内质网高尔基中间区53kDa蛋白']
Q07954	['阿普尔', '载脂蛋白E受体', 'LRP-1', 'α-2-巨球蛋白受体', 'A2MR', '四月', '低密度脂蛋白受体相关蛋白1']
Q8NI22	['多凝血因子缺乏蛋白2', 'SDNSF', '神经干细胞衍生的神经元存活蛋白']
P14778	['白细胞介素-1受体I型', 'IL-1R-1', 'IL1RT1', 'p80', 'CD121抗原样家族成员A', 'IL1R', 'IL-1R-α', '白细胞介素-1受体1型', '白细胞介素-1受体α', 'IL1RA']
Q92637	['IgG Fc受体IB', 'FcRIB', 'hFcgammaRIB', 'Fc伽马肋', '高亲和力免疫球蛋白γFc受体IB', 'IGFRB']
P01024	['CPAMD1', '补体C3', '含蛋白1的C3和PZP样α-2巨球蛋白结构域']
P0C0L4	['补体C4-A', '含蛋白2的C3和PZP样α-2巨球蛋白结构域', '二氧化碳', '酸性补体C4', 'CPAMD2']
P0C0L5	['基本补体C4', '含蛋白3的C3和PZP样α-2巨球蛋白结构域', '二氧化碳', '补体C4-B', 'CPAMD3']
P01031	['补体C5', '含有蛋白4的C3和PZP样α-2巨球蛋白结构域', 'CPAMD4']
P06213	['胰岛素受体', '2.7.10.1', '红外光谱']
P08069	['胰岛素样生长因子1受体', '胰岛素样生长因子I受体', '2.7.10.1', 'IGF-I受体']
P16870	['激素原处理羧肽酶', '脑啡肽转化酶', 'CPE', '3.4.17.10', '羧肽酶H', 'CPH', '羧肽酶E']
P48745	['IBP-9', 'IGFBP9', '诺夫', 'CCN家庭成员3', '胰岛素样生长因子结合蛋白9', 'IGFBP-9', '胰岛素样生长因子结合蛋白9', '蛋白质NOV同系物', 'CCN3', '肾母细胞瘤过表达基因蛋白同源物']
Q16270	['IBP-7', 'IGFBP-rP1', 'PGI2刺激因子', 'MAC25蛋白', '前列环素刺激因子', '肿瘤源性粘附因子', '塔夫', 'PSF', '胰岛素样生长因子结合蛋白7', 'MAC25']
P05452	['C型凝集素结构域家族3成员B', '纤溶酶原kringle 4结合蛋白', '四联蛋白', '特娜', 'TN']
P05787	['II型角蛋白Kb8', 'CK-8', '角蛋白-8', 'CYK8', '角蛋白，II型细胞骨架蛋白8', 'K8', '细胞角蛋白-8']
P07355	['蛋白质I', '第36页', 'PAP-IV', '膜联蛋白-2', 'CAL1H', 'ANX2L4', '染色结合蛋白-8', 'ANX2', '膜联蛋白A2', 'Calpactin-1重链', '胎盘抗凝蛋白IV', '膜联蛋白', 'LPC2D', '脂皮质素II', 'Calpactin I重链']
P23945	['促卵泡素受体', 'FSH-R', '促卵泡激素受体', 'LGR1']
P15260	['CDw119', '干扰素γ受体1', '干扰素γ受体1']
P38484	['干扰素γ受体2', '干扰素γ受体辅助因子1', 'IFNGT1', 'AF-1', '干扰素γ传感器1', '干扰素γ受体2']
P30518	['AVPR V2', '抗利尿激素受体', 'DIR3', '迪尔', '肾型精氨酸加压素受体', 'V2R', 'ADHR', '加压素V2受体']
P37288	['血管\\/肝型精氨酸加压素受体', '加压素V1a受体', 'AVPR1', 'V1aR', '抗利尿激素受体1a', 'AVPR V1a']
P47901	['AVPR V3', 'AVPR V1b', '抗利尿激素受体1b', 'VPR3', '加压素V3受体', 'V1bR', '加压素V1b受体', 'AVPR3']
P10646	['组织因子途径抑制剂', '拉奇', '脂蛋白相关凝血抑制剂', '外源性途径抑制剂', 'TFPI1', 'TFPI', '计划免疫']
P38435	['维生素K依赖性γ羧化酶', 'GC', 'γ-谷氨酰羧化酶', '维生素K-γ-谷氨酰羧化酶', '肽基谷氨酸4-羧化酶', '4.1.1.90']
P08709	['SPCA', '血清凝血酶原转化促进剂', '前降钙素', '3.4.21.21', '凝血因子VII']
P13726	['凝血因子Ⅲ', '凝血活酶', 'TF', '组织因子']
Q14626	['IL-11受体亚单位α', '白细胞介素-11受体亚单位α']
P21802	['2.7.10.1', '成纤维细胞生长因子受体2', '角质形成细胞生长因子受体', 'KGFR', '贝克', 'KSAM', 'K-sam', 'FGFR-2']
P11362	['bFGF-R-1', '2.7.10.1', '成纤维细胞生长因子受体1', '碱性成纤维细胞生长因子受体1', '原癌基因c-Fgr', '塞克', 'FLT2', 'FLT-2', 'BFGFR', 'FGFBR', 'FLG', 'FGFR-1', 'HBGFR', 'N-sam', '类Fms酪氨酸激酶2']
P98160	['佩莱坎', '基底膜特异性硫酸乙酰肝素蛋白多糖核心蛋白', '可编程逻辑控制器', 'HSPG']
P47871	['GL-R', '胰高血糖素受体']
O95838	['胰高血糖素样肽2受体', 'GLP-2受体']
P43220	['GLP-1受体', '胰高血糖素样肽1受体']
P63027	['鞋面2', '囊泡相关膜蛋白2', 'SYB2', '突触结合蛋白-2']
P23763	['鞋面-1', '囊泡相关膜蛋白1', 'SYB1', '突触结合蛋白-1']
Q8N9I0	['突触结合蛋白II', '突触结合蛋白-2', '西蒂']
P12319	['FcεRIα', '弗切里', '高亲和力免疫球蛋白ε受体亚单位α', 'FCE1A', 'IgE Fc受体亚单位α']
Q01362	['FCER1B', '高亲和力β-免疫球蛋白受体', '阿皮', '弗切里', 'Fcε受体Iβ链', '跨膜4-结构域亚家族A成员2', 'IgE Fc受体β亚单位', '伊格尔']
O60603	['直到4', 'Toll\\/IL-1受体样蛋白4', 'Toll样受体2']
P02452	['胶原α-1（I）链', 'α-1Ⅰ型胶原']
P02458	['α-1Ⅱ型胶原', '胶原α-1（II）链']
P02461	['三、', '胶原α-1（III）链', '胶原α-1（III）链前体']
P10912	['生长激素受体', '生长激素受体', '生长激素受体']
P16471	['PRL-R', '催乳素受体']
P05106	['GPIIIa', '整合素β-3', '血小板膜糖蛋白IIIa', 'GP3A']
P08514	['ITGAB', 'GP2B', '整合素αIIb', 'GPalpha IIb', '血小板膜糖蛋白IIb', 'GPIIb']
P04004	['V75', '血清扩散因子', 'S蛋白', '越南', '卵黄连蛋白']
P00451	['啊', 'F8C', '凝血因子VIII', '抗血友病因子', '促凝成分']
P12259	['凝血因子V', '促加速因子', '活化蛋白C辅因子']
P07204	['费托霉素', 'THRM', '血栓调节蛋白', '商标']
P07225	['赞成的意见', '维生素K依赖性蛋白S']
P02776	['血小板因子4', 'C-X-C基序趋化因子4', 'CL4 CX4', '伊罗普拉特', 'SCYB4', '抑瘤素-A', 'PF-4']
P35237	['细胞质抗蛋白酶', '帽子', 'Serpin B6', 'PI6', '胎盘凝血酶抑制剂', 'PI-6', 'PTI', '肽酶抑制剂6']
Q9UNN8	['内皮蛋白C受体', '内皮细胞蛋白C受体', 'EPCR', 'APC受体', '活化蛋白C受体']
P20138	['唾液酸结合Ig样凝集素3', 'SIGLEC3', 'gp67', '髓样细胞表面抗原CD33', 'Siglec-3']
P08246	['中性粒细胞弹性蛋白酶', '髓质素', 'ELA2', '3.4.21.37', '人白细胞弹性蛋白酶', '赫勒', '中性粒细胞弹性蛋白酶', '骨髓丝氨酸蛋白酶', '弹性蛋白酶-2']
P62993	['灰', '生长因子受体结合蛋白2', '蛋白灰', 'SH2\\/SH3适配器GRB2', '衔接蛋白GRB2']
P30559	['OT-R', '催产素受体']
P01137	['转化生长因子β-1', 'TGF-β-1', 'TGFB']
P04626	['她2', '酪氨酸激酶型细胞表面受体HER2', '受体酪氨酸蛋白激酶erbB-2', '2.7.10.1', '原癌基因c-ErbB-2', '纽大学', 'NGL', 'MLN19', 'p185erbB2', '转移淋巴结基因19蛋白', '原癌基因Neu', 'MLN 19']
P11836	['B淋巴细胞表面抗原B1', 'Bp35', '白细胞表面抗原Leu-16', '跨膜4-结构域亚家族A成员1', 'CD20', 'B淋巴细胞抗原CD20']
P04234	['T细胞受体T3δ链', 'T细胞表面糖蛋白CD3δ链', 'T3D']
P07766	['T3E', 'T细胞表面糖蛋白CD3ε链', 'T细胞表面抗原T3\\/Leu-4ε链']
P09693	['T3G', 'T细胞表面糖蛋白CD3γ链', 'T细胞受体T3γ链']
P20963	['T3Z', 'TCRZ', 'CD3Z', 'T细胞表面糖蛋白CD3 zeta链', 'T细胞受体T3 zeta链']
P60880	['超级蛋白质', '啜饮', '断裂', '突触体相关蛋白25', 'SNAP-25', '突触体相关25kDa蛋白']
P62745	['Rho相关GTP结合蛋白RhoB', 'ARHB', 'Rho cDNA克隆6', 'h6', 'ARH6']
P25116	['凝血酶受体', 'TR', '标准杆-1', '凝血因子Ⅱ受体', 'PAR1', '蛋白酶激活受体1', 'CF2R']
P31358	['剑桥病理学1抗原', '人附睾特异蛋白5', 'CDW52', '附睾分泌蛋白E5', 'CAMPATH-1抗原', '呵呵']
Q04609	['FGCP', '福尔', '叶酸聚γ-谷氨酸羧肽酶', '纳阿拉德1', 'PSM', '谷氨酸羧肽酶2', '谷氨酸羧肽酶II', '纳阿拉酶I', 'PSMA', '叶酸水解酶1', '翼酰多聚γ-谷氨酸羧肽酶', '前列腺特异性膜抗原', '细胞生长抑制基因27蛋白', '膜谷氨酸羧肽酶', '3.4.17.21', 'N-乙酰化-α-连接酸性二肽酶I', 'GCPII', 'mGCP']
P49069	['卡米尔', '钙信号调节亲环素配体']
Q96LZ3	['类PPP3R1', '钙调神经磷酸酶BII', '钙调神经磷酸酶B样蛋白', '蛋白磷酸酶3调节亚基Bβ亚型', '蛋白磷酸酶2B调节亚基2', '钙调神经磷酸酶B亚单位2型', 'PPP3RL', 'CBLP', 'CNBII']
P62937	['肽基脯氨酰顺反异构酶A', '亲环素A', '5.2.1.8', '轮胺酶A', 'CYPA', '肽基脯氨酰顺反异构酶', '环孢菌素A结合蛋白']
P30405	['CyP-D', 'CYP3', '亲环素D', '5.2.1.8', 'PPIase F', '线粒体亲环素', '亲环素F', '轮胺酶F', '肽基脯氨酰顺反异构酶F，线粒体', 'CyP-M', '亲环素D']
P06729	['LFA-3受体', 'LFA-2', 'T细胞表面抗原T11\\/Leu-5', 'SRBC', 'T细胞表面抗原CD2', '花环受体', '红细胞受体']
P20701	['CD11A', 'LFA-1A', '整合素α-L', '白细胞功能相关分子1α链', '白细胞粘附糖蛋白LFA-1α链', 'CD11抗原样家族成员A']
P20702	['白细胞粘附糖蛋白p150,95α链', '整合素α-X', 'CD11抗原样家族成员C', '白细胞粘附受体p150,95', 'CD11C', 'Leu M5']
P06126	['T细胞表面糖蛋白CD1a', 'hTa1胸腺细胞抗原', 'T细胞表面抗原T6\\/Leu-6']
Q95460	['主要组织相容性复合体I类相关基因蛋白', 'I类组织相容性抗原样蛋白', 'MHC I类相关基因蛋白']
P42081	['CD28LG2', '乐趣1', 'CTLA-4计数器受体B7。2.', 'T淋巴细胞活化抗原CD86', '活化B7-2抗原', 'B70', 'BU63']
P01730	['T细胞表面抗原T4\\/Leu-3', 'T细胞表面糖蛋白CD4']
P05556	['糖蛋白Ⅱa', '纤维连接蛋白受体β亚单位', '整合素β-1', 'IIAGPA', 'VLA-4β亚单位', 'MDF2', 'FNRB', 'MSK12']
P06756	['卵黄连蛋白受体亚单位α', '整合素α-V', 'VNRA', 'MSK8']
P03951	['3.4.21.27', 'FXI', '家长教师会', '凝血因子席', '血浆凝血活酶前体']
P09619	['2.7.10.1', 'PDGF-R-β', 'PDGFR', 'PDGFR1', '血小板衍生生长因子受体β', 'β血小板衍生生长因子受体', 'β型血小板衍生生长因子受体', 'CD140抗原样家族成员B', 'PDGFR-1', '血小板衍生生长因子受体1']
P16234	['2.7.10.1', 'CD140抗原样家族成员A', 'PDGF-R-alpha', '血小板衍生生长因子受体α', 'α-血小板衍生生长因子受体', '血小板衍生生长因子受体2', 'PDGFR2', 'CD140a抗原', '血小板衍生生长因子α受体', 'RHEPDGFRA', 'α型血小板衍生生长因子受体', 'PDGFR-2']
P01023	['含蛋白5的C3和PZP样α-2巨球蛋白结构域', 'α-2-巨球蛋白', 'CPAMD5', '阿尔法-2-M']
P13612	['VLA-4亚单位α', 'CD49D', '整合素α-4', '整合素αIV', 'CD49抗原样家族成员D']
P05362	['ICAM-1', '胞间粘附分子1', '主要类群鼻病毒受体']
Q53I07	['包膜糖蛋白']
P13843	['融合糖蛋白F0', '融合糖蛋白F0前体']
P00736	['3.4.21.41', '补充成分1子成分r', '补码C1r子成分']
P15692	['血管内皮生长因子A', 'VEGF-A', 'VPF', '血管内皮生长因子', '血管通透性因子']
P13688	['BGP-1', '癌胚抗原相关细胞粘附分子1', 'BGP1', 'BGP', '胆汁糖蛋白1']
Q9BYV1	['丙氨酸——乙醛酸转氨酶2，线粒体', '2.6.1.44', 'AGT 2', '（R） -3-氨基-2-甲基丙酸盐——丙酮酸转氨酶', '贝塔阿拉特二世', 'β-丙氨酸丙酮酸转氨酶', 'AGT2', 'D-AIBAT']
Q99259	['谷氨酸脱羧酶67 kDa亚型', '4.1.1.15', '谷氨酸脱羧酶1', 'GAD67', '谷氨酸脱羧酶', 'GAD-67', '67kDa谷氨酸脱羧酶']
P35520	['胱硫醚β合酶', '丝氨酸磺酰化酶', 'β-硫酶', '4.2.1.22']
Q16719	['犬尿氨酸酶', '3.7.1.3', 'L-犬尿氨酸水解酶']
P34896	['2.1.2.1', '丝氨酸甲基酶', 'SHMT', '丝氨酸羟甲基转移酶，胞浆', '甘氨酸羟甲基转移酶']
Q9Y697	['NIFS', '线粒体半胱氨酸脱硫酶', '2.8.1.7']
P17174	['谷氨酸草酰乙酸转氨酶1', '转氨酶A', '2.6.1.1', '细胞质半胱氨酸转氨酶', 'cCAT', '天冬氨酸氨基转移酶，细胞质', '细胞质半胱氨酸转氨酶', '卡斯帕特']
P04181	['2.6.1.13', '鸟氨酸δ转氨酶', '鸟氨酸转氨酶，线粒体', '鸟氨酸-氧代酸转氨酶']
P11926	['ODC', '4.1.1.17', '鸟氨酸脱羧酶']
Q8N5Z0	['犬尿氨酸-酮戊二酸转氨酶II', '2-己二酸氨基转移酶', 'KAT\\/AadAT', '2-氨基己二酸转氨酶', '犬尿氨酸转氨酶II', '犬尿氨酸\\/α-己二酸氨基转移酶，线粒体', '犬尿氨酸-酮戊二酸转氨酶II', 'α-己二酸氨基转移酶', '阿达特', 'KAT2', '犬尿氨酸-酮戊二酸转氨酶2']
P80404	['4-氨基丁酸转氨酶，线粒体', 'GABA-AT', 'GABA转氨酶', 'L-AIBAT', '加巴特', 'GABA-T', 'γ-氨基丁酸转氨酶', '2.6.1.19', '氨基丁酸转氨酶', '（S） -3-氨基-2-甲基丙酸转氨酶']
Q9NVS9	['磷酸吡哆胺氧化酶', "吡哆醇-5'-磷酸氧化酶", '1.4.3.5']
O95470	['KIAA252', '鞘氨醇-1-磷酸醛缩酶', '4.1.2.27', '鞘氨醇-1-磷酸裂解酶1', 'S1PL']
P17735	['2.6.1.5', '塔特', '酪氨酸转氨酶', 'L-酪氨酸：2-酮戊二酸转氨酶']
Q16773	['GTK', '犬尿氨酸-酮戊二酸转氨酶I', '犬尿氨酸-酮戊二酸转氨酶1', '2.6.1.7', '谷氨酰胺——苯丙酮酸转氨酶', '犬尿氨酸转氨酶I', '谷氨酰胺转氨酶K', '半胱氨酸-S-结合β裂解酶', '卡蒂']
O15270	['LCB2a', 'KIAA0526', '2.3.1.50', '丝氨酸棕榈酰转移酶2', '长链碱生物合成蛋白2', '丝氨酸棕榈酰辅酶A转移酶2', '长链碱生物合成蛋白2a', '立法会二题', 'SPT 2', 'LCB2']
Q9Y600	['惩教署', '亚硫酸丙氨酸脱羧酶', '4.1.1.29', '半胱氨酸亚硫酸脱羧酶', '半胱氨酸亚磺酸脱羧酶']
P19113	['组氨酸脱羧酶', '4.1.1.22', 'HDC']
Q96A70	['AzI2', 'ODCP', '鸟氨酸脱羧酶样蛋白', '精氨酸脱羧酶', '抗酶抑制剂2', 'KIAA1945', '鸟氨酸脱羧酶paralog', 'ARGDC', '类ODC蛋白', 'ODC-p', 'ADC']
P20132	['L-丝氨酸脱氨酶', 'SDH', 'L-丝氨酸脱水酶\\/L-苏氨酸脱氨酶', '4.3.1.17', 'TDH', 'L-苏氨酸脱水酶']
O75600	['AKB连接酶', '2.3.1.29', '2-氨基-3-酮丁酸辅酶A连接酶，线粒体', 'KBL', '氨基丙酮合酶', '甘氨酸乙酰转移酶']
P23378	['GCSP', '甘氨酸脱羧酶', '1.4.4.2', '甘氨酸脱氢酶（氨基甲基转移）', '甘氨酸裂解系统P蛋白', '甘氨酸脱氢酶（脱羧），线粒体']
P24298	['GPT1', '2.6.1.2', 'GPT 1', '谷丙转氨酶1', '谷氨酸丙酮酸转氨酶1', 'ALT1', 'AAT1', '丙氨酸转氨酶1', '谷氨酸丙氨酸转氨酶1']
Q9Y617	['磷酸羟基苏氨酸转氨酶', 'PSA', '2.6.1.52', 'PSAT', '磷酸丝氨酸转氨酶']
P13196	['2.3.1.37', '5-氨基乙酰丙酸合酶1', '5-氨基乙酰丙酸合酶，非特异性，线粒体', 'δ-ALA合酶1', 'δ-氨基乙酰丙酸合酶1', '阿拉斯3', '阿拉斯', '哎呀']
P21549	['丙氨酸——乙醛酸转氨酶', 'AGT1', 'AGT', '2.6.1.51', '小争吵', '丝氨酸丙酮酸转氨酶', 'SPT']
Q96GD0	['时辰蛋白', 'CIN', 'PLPP', '3.1.3.3', 'PLP磷酸酶', 'PLP', '磷酸吡哆醛磷酸酶']
O15269	['LCB1', '丝氨酸棕榈酰辅酶A转移酶1', 'SPT1', '2.3.1.50', '丝氨酸棕榈酰转移酶1', 'SPT 1', '立法会一题', '长链碱生物合成蛋白1']
P32929	['4.4.1.1', '半胱氨酸蛋白磺酰化酶', 'γ-胱硫酶', '胱硫醚γ裂解酶']
P54687	['ECA39', '2.6.1.42', '蛋白ECA39', '支链氨基酸氨基转移酶，胞浆', 'BCT1', 'BCAT（c）']
O15382	['BCT2', '2.6.1.42', '第18页', 'ECA40', '胎盘蛋白18', 'BCAT（米）', '支链氨基酸转氨酶，线粒体', 'BCATM']
O94903	['脯氨酸合酶共转录细菌同源蛋白']
P00505	['质膜相关脂肪酸结合蛋白', '转氨酶A', 'FABPpm', '脂肪酸结合蛋白', '天冬氨酸转氨酶，线粒体', '犬尿氨酸-酮戊二酸转氨酶4', '犬尿氨酸转氨酶4', '犬尿氨酸转氨酶IV', '犬尿氨酸-酮戊二酸转氨酶IV', '2.6.1.1', 'FABP-1', '谷氨酸草酰乙酸转氨酶2', '马斯帕特']
P11216	['2.4.1.1', '糖原磷酸化酶，脑型']
P11217	['2.4.1.1', '肌磷酸化酶', '肌型糖原磷酸化酶']
P20711	['多巴脱羧酶', '芳香-L-氨基酸脱羧酶', 'AADC', '4.1.1.28', 'DDC']
Q2TU84	['天冬氨酸转氨酶', '2.6.1.1']
Q53ET4	['2.1.2.1', '丝氨酸羟甲基转移酶']
Q59FK2	['硒代半胱氨酸裂解酶变体']
Q59GM9	['2.4.1.1', 'α-1,4葡聚糖磷酸化酶']
Q5JAM2	['δ-丙氨酸合酶', '2.3.1.37', '5-氨基乙酰丙酸合酶', 'δ-氨基乙酰丙酸合酶', '5-氨基乙酰丙酸合酶']
Q5VZ30	['谷氨酸脱羧酶2（胰岛和大脑，65kDa）', '谷氨酸脱羧酶2（胰岛和大脑，65kDa），CRA_b亚型']
Q6IBS8	['DDC蛋白']
Q6YP21	['KAT3', '犬尿氨酸——乙醛酸转氨酶', '犬尿氨酸-酮戊二酸转氨酶3', '2.6.1.7', '犬尿氨酸-酮戊二酸转氨酶III', '卡蒂', '犬尿氨酸转氨酶III', '半胱氨酸-S-结合β裂解酶2']
Q6ZQY3	['谷氨酸脱羧酶样蛋白1', 'HuADC', '半胱氨酸亚磺酸脱羧酶', 'HuCSADC', '酸性氨基酸脱羧酶GADL1', 'CSADC', '天冬氨酸1-脱羧酶', 'ADC']
Q96I15	['4.4.1.16', '硒代半胱氨酸裂解酶', 'SCL', 'hSCL']
Q6WRI0	['CMF608', '免疫球蛋白超家族成员10', '头盖骨机械力蛋白608', 'IgSF10']
Q8IUZ5	['AGXT2L2', '5-磷酸羟基-L-赖氨酸磷酸裂解酶', '4.2.3.134', '丙氨酸——乙醛酸转氨酶2样2']
Q8IVA8	['大脑，67kDa', '谷氨酸脱羧酶1（脑，67kDa）']
P34897	['2.1.2.1', '丝氨酸羟甲基转移酶，线粒体', '丝氨酸甲基酶', 'SHMT', '甘氨酸羟甲基转移酶']
P22557	['2.3.1.37', '阿拉斯', 'δ-ALA合酶2', '唉', 'δ-氨基乙酰丙酸合酶2', 'ASB', '5-氨基乙酰丙酸合酶，红系特异性，线粒体', '5-氨基乙酰丙酸合酶2']
Q8TD30	['谷氨酸丙酮酸转氨酶2', '谷氨酸丙氨酸转氨酶2', 'GPT 2', '2.6.1.2', 'AAT2', '丙氨酸转氨酶2', 'ALT2', '谷丙转氨酶2']
Q96EN8	['MCS', '钼辅因子硫化酶', '2.8.1.9', '钼辅因子硫转移酶']
Q96GA7	['L-丝氨酸脱氨酶', '丝氨酸脱水酶2', 'L-丝氨酸脱水酶\\/L-苏氨酸脱氨酶', '丝氨酸脱水酶样', 'TDH', 'L-苏氨酸脱水酶', 'SDH 2']
Q9BXA1	['肝脏过氧体丙氨酸：乙醛酸转氨酶']
Q9GZT4	['L-丝氨酸解氨酶', '5.1.1.18', 'L-丝氨酸脱水酶', 'D-丝氨酸解氨酶', '丝氨酸消旋酶', 'D-丝氨酸脱水酶']
