P00734	['Prothrombin', '3.4.21.5', 'Coagulation factor II']
P16870	['Prohormone-processing carboxypeptidase', 'Enkephalin convertase', 'CPE', '3.4.17.10', 'Carboxypeptidase H', 'CPH', 'Carboxypeptidase E']
P48745	['IBP-9', 'IGFBP9', 'NOVH', 'CCN family member 3', 'IGF-binding protein 9', 'IGFBP-9', 'Insulin-like growth factor-binding protein 9', 'Protein NOV homolog', 'CCN3', 'Nephroblastoma-overexpressed gene protein homolog']
Q16270	['IBP-7', 'IGFBP-rP1', 'PGI2-stimulating factor', 'MAC25 protein', 'Prostacyclin-stimulating factor', 'Tumor-derived adhesion factor', 'TAF', 'PSF', 'Insulin-like growth factor-binding protein 7', 'MAC25']
P05452	['C-type lectin domain family 3 member B', 'Plasminogen kringle 4-binding protein', 'Tetranectin', 'TNA', 'TN']
P05787	['Type-II keratin Kb8', 'CK-8', 'Keratin-8', 'CYK8', 'Keratin, type II cytoskeletal 8', 'K8', 'Cytokeratin-8']
P07355	['Protein I', 'p36', 'PAP-IV', 'Annexin-2', 'CAL1H', 'ANX2L4', 'Chromobindin-8', 'ANX2', 'Annexin A2', 'Calpactin-1 heavy chain', 'Placental anticoagulant protein IV', 'Annexin II', 'LPC2D', 'Lipocortin II', 'Calpactin I heavy chain']
P23945	['Follitropin receptor', 'FSH-R', 'Follicle-stimulating hormone receptor', 'LGR1']
P15260	['CDw119', 'IFN-gamma receptor 1', 'Interferon gamma receptor 1']
P38484	['IFN-gamma receptor 2', 'Interferon gamma receptor accessory factor 1', 'IFNGT1', 'AF-1', 'Interferon gamma transducer 1', 'Interferon gamma receptor 2']
P30518	['AVPR V2', 'Antidiuretic hormone receptor', 'DIR3', 'DIR', 'Renal-type arginine vasopressin receptor', 'V2R', 'ADHR', 'Vasopressin V2 receptor']
P37288	['Vascular/hepatic-type arginine vasopressin receptor', 'Vasopressin V1a receptor', 'AVPR1', 'V1aR', 'Antidiuretic hormone receptor 1a', 'AVPR V1a']
P47901	['AVPR V3', 'AVPR V1b', 'Antidiuretic hormone receptor 1b', 'VPR3', 'Vasopressin V3 receptor', 'V1bR', 'Vasopressin V1b receptor', 'AVPR3']
P10646	['Tissue factor pathway inhibitor', 'LACI', 'Lipoprotein-associated coagulation inhibitor', 'Extrinsic pathway inhibitor', 'TFPI1', 'TFPI', 'EPI']
P38435	['Vitamin K-dependent gamma-carboxylase', 'GC', 'Gamma-glutamyl carboxylase', 'Vitamin K gamma glutamyl carboxylase', 'Peptidyl-glutamate 4-carboxylase', '4.1.1.90']
P08709	['SPCA', 'Serum prothrombin conversion accelerator', 'Proconvertin', '3.4.21.21', 'Coagulation factor VII']
P13726	['Coagulation factor III', 'Thromboplastin', 'TF', 'Tissue factor']
Q14626	['IL-11 receptor subunit alpha', 'Interleukin-11 receptor subunit alpha']
P21802	['2.7.10.1', 'Fibroblast growth factor receptor 2', 'Keratinocyte growth factor receptor', 'KGFR', 'BEK', 'KSAM', 'K-sam', 'FGFR-2']
P11362	['bFGF-R-1', '2.7.10.1', 'Fibroblast growth factor receptor 1', 'Basic fibroblast growth factor receptor 1', 'Proto-oncogene c-Fgr', 'CEK', 'FLT2', 'FLT-2', 'BFGFR', 'FGFBR', 'FLG', 'FGFR-1', 'HBGFR', 'N-sam', 'Fms-like tyrosine kinase 2']
P98160	['Perlecan', 'Basement membrane-specific heparan sulfate proteoglycan core protein', 'PLC', 'HSPG']
P47871	['GL-R', 'Glucagon receptor']
O95838	['Glucagon-like peptide 2 receptor', 'GLP-2 receptor']
P43220	['GLP-1 receptor', 'Glucagon-like peptide 1 receptor']
P63027	['VAMP-2', 'Vesicle-associated membrane protein 2', 'SYB2', 'Synaptobrevin-2']
P23763	['VAMP-1', 'Vesicle-associated membrane protein 1', 'SYB1', 'Synaptobrevin-1']
Q8N9I0	['Synaptotagmin II', 'Synaptotagmin-2', 'SytII']
P12319	['Fc-epsilon RI-alpha', 'FcERI', 'High affinity immunoglobulin epsilon receptor subunit alpha', 'FCE1A', 'IgE Fc receptor subunit alpha']
Q01362	['FCER1B', 'High affinity immunoglobulin epsilon receptor subunit beta', 'APY', 'FcERI', 'Fc epsilon receptor I beta-chain', 'Membrane-spanning 4-domains subfamily A member 2', 'IgE Fc receptor subunit beta', 'IGER']
O60603	['TIL4', 'Toll/interleukin-1 receptor-like protein 4', 'Toll-like receptor 2']
P02452	['Collagen alpha-1(I) chain', 'Alpha-1 type I collagen']
P02458	['Alpha-1 type II collagen', 'Collagen alpha-1(II) chain']
P02461	['III', 'Collagen alpha-1(III) chain', 'Collagen alpha-1(III) chain precursor']
P10912	['Growth hormone receptor', 'GH receptor', 'Somatotropin receptor']
P16471	['PRL-R', 'Prolactin receptor']
P05106	['GPIIIa', 'Integrin beta-3', 'Platelet membrane glycoprotein IIIa', 'GP3A']
P08514	['ITGAB', 'GP2B', 'Integrin alpha-IIb', 'GPalpha IIb', 'Platelet membrane glycoprotein IIb', 'GPIIb']
P04004	['V75', 'Serum-spreading factor', 'S-protein', 'VN', 'Vitronectin']
P00451	['AHF', 'F8C', 'Coagulation factor VIII', 'Antihemophilic factor', 'Procoagulant component']
P12259	['Coagulation factor V', 'Proaccelerin, labile factor', 'Activated protein C cofactor']
P07204	['Fetomodulin', 'THRM', 'Thrombomodulin', 'TM']
P07225	['PROS', 'Vitamin K-dependent protein S']
P02776	['Platelet factor 4', 'C-X-C motif chemokine 4', 'CXCL4', 'Iroplact', 'SCYB4', 'Oncostatin-A', 'PF-4']
P35237	['Cytoplasmic antiproteinase', 'CAP', 'Serpin B6', 'PI6', 'Placental thrombin inhibitor', 'PI-6', 'PTI', 'Peptidase inhibitor 6']
Q9UNN8	['Endothelial protein C receptor', 'Endothelial cell protein C receptor', 'EPCR', 'APC receptor', 'Activated protein C receptor']
P20138	['Sialic acid-binding Ig-like lectin 3', 'SIGLEC3', 'gp67', 'Myeloid cell surface antigen CD33', 'Siglec-3']
P08246	['PMN elastase', 'Medullasin', 'ELA2', '3.4.21.37', 'Human leukocyte elastase', 'HLE', 'Neutrophil elastase', 'Bone marrow serine protease', 'Elastase-2']
P62993	['ASH', 'Growth factor receptor-bound protein 2', 'Protein Ash', 'SH2/SH3 adapter GRB2', 'Adapter protein GRB2']
P30559	['OT-R', 'Oxytocin receptor']
P01137	['Transforming growth factor beta-1', 'TGF-beta-1', 'TGFB']
P04626	['HER2', 'Tyrosine kinase-type cell surface receptor HER2', 'Receptor tyrosine-protein kinase erbB-2', '2.7.10.1', 'Proto-oncogene c-ErbB-2', 'NEU', 'NGL', 'MLN19', 'p185erbB2', 'Metastatic lymph node gene 19 protein', 'Proto-oncogene Neu', 'MLN 19']
P11836	['B-lymphocyte surface antigen B1', 'Bp35', 'Leukocyte surface antigen Leu-16', 'Membrane-spanning 4-domains subfamily A member 1', 'CD20', 'B-lymphocyte antigen CD20']
P04234	['T-cell receptor T3 delta chain', 'T-cell surface glycoprotein CD3 delta chain', 'T3D']
P07766	['T3E', 'T-cell surface glycoprotein CD3 epsilon chain', 'T-cell surface antigen T3/Leu-4 epsilon chain']
P09693	['T3G', 'T-cell surface glycoprotein CD3 gamma chain', 'T-cell receptor T3 gamma chain']
P20963	['T3Z', 'TCRZ', 'CD3Z', 'T-cell surface glycoprotein CD3 zeta chain', 'T-cell receptor T3 zeta chain']
P60880	['Super protein', 'SUP', 'SNAP', 'Synaptosomal-associated protein 25', 'SNAP-25', 'Synaptosomal-associated 25 kDa protein']
P62745	['Rho-related GTP-binding protein RhoB', 'ARHB', 'Rho cDNA clone 6', 'h6', 'ARH6']
P25116	['Thrombin receptor', 'TR', 'PAR-1', 'Coagulation factor II receptor', 'PAR1', 'Proteinase-activated receptor 1', 'CF2R']
P31358	['Cambridge pathology 1 antigen', 'Human epididymis-specific protein 5', 'CDW52', 'Epididymal secretory protein E5', 'CAMPATH-1 antigen', 'HE5']
Q04609	['FGCP', 'FOLH', 'Folylpoly-gamma-glutamate carboxypeptidase', 'NAALAD1', 'PSM', 'Glutamate carboxypeptidase 2', 'Glutamate carboxypeptidase II', 'NAALADase I', 'PSMA', 'Folate hydrolase 1', 'Pteroylpoly-gamma-glutamate carboxypeptidase', 'Prostate-specific membrane antigen', 'Cell growth-inhibiting gene 27 protein', 'Membrane glutamate carboxypeptidase', '3.4.17.21', 'N-acetylated-alpha-linked acidic dipeptidase I', 'GCPII', 'mGCP']
P49069	['CAML', 'Calcium signal-modulating cyclophilin ligand']
Q96LZ3	['PPP3R1-like', 'Calcineurin BII', 'Calcineurin B-like protein', 'Protein phosphatase 3 regulatory subunit B beta isoform', 'Protein phosphatase 2B regulatory subunit 2', 'Calcineurin subunit B type 2', 'PPP3RL', 'CBLP', 'CNBII']
P62937	['Peptidyl-prolyl cis-trans isomerase A', 'Cyclophilin A', '5.2.1.8', 'Rotamase A', 'CYPA', 'PPIase A', 'Cyclosporin A-binding protein']
P30405	['CyP-D', 'CYP3', 'CypD', '5.2.1.8', 'PPIase F', 'Mitochondrial cyclophilin', 'Cyclophilin F', 'Rotamase F', 'Peptidyl-prolyl cis-trans isomerase F, mitochondrial', 'CyP-M', 'Cyclophilin D']
P06729	['LFA-3 receptor', 'LFA-2', 'T-cell surface antigen T11/Leu-5', 'SRBC', 'T-cell surface antigen CD2', 'Rosette receptor', 'Erythrocyte receptor']
P20701	['CD11A', 'LFA-1A', 'Integrin alpha-L', 'Leukocyte function-associated molecule 1 alpha chain', 'Leukocyte adhesion glycoprotein LFA-1 alpha chain', 'CD11 antigen-like family member A']
P20702	['Leukocyte adhesion glycoprotein p150,95 alpha chain', 'Integrin alpha-X', 'CD11 antigen-like family member C', 'Leukocyte adhesion receptor p150,95', 'CD11C', 'Leu M5']
P06126	['T-cell surface glycoprotein CD1a', 'hTa1 thymocyte antigen', 'T-cell surface antigen T6/Leu-6']
Q95460	['Major histocompatibility complex class I-related gene protein', 'Class I histocompatibility antigen-like protein', 'MHC class I-related gene protein']
P42081	['CD28LG2', 'FUN-1', 'CTLA-4 counter-receptor B7.2', 'T-lymphocyte activation antigen CD86', 'Activation B7-2 antigen', 'B70', 'BU63']
P01730	['T-cell surface antigen T4/Leu-3', 'T-cell surface glycoprotein CD4']
P05556	['Glycoprotein IIa', 'Fibronectin receptor subunit beta', 'Integrin beta-1', 'GPIIA', 'VLA-4 subunit beta', 'MDF2', 'FNRB', 'MSK12']
P06756	['Vitronectin receptor subunit alpha', 'Integrin alpha-V', 'VNRA', 'MSK8']
P03951	['3.4.21.27', 'FXI', 'PTA', 'Coagulation factor XI', 'Plasma thromboplastin antecedent']
P09619	['2.7.10.1', 'PDGF-R-beta', 'PDGFR', 'PDGFR1', 'Platelet-derived growth factor receptor beta', 'Beta platelet-derived growth factor receptor', 'Beta-type platelet-derived growth factor receptor', 'CD140 antigen-like family member B', 'PDGFR-1', 'Platelet-derived growth factor receptor 1']
P16234	['2.7.10.1', 'CD140 antigen-like family member A', 'PDGF-R-alpha', 'Platelet-derived growth factor receptor alpha', 'Alpha platelet-derived growth factor receptor', 'Platelet-derived growth factor receptor 2', 'PDGFR2', 'CD140a antigen', 'Platelet-derived growth factor alpha receptor', 'RHEPDGFRA', 'Alpha-type platelet-derived growth factor receptor', 'PDGFR-2']
P01023	['C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5', 'Alpha-2-macroglobulin', 'CPAMD5', 'Alpha-2-M']
P13612	['VLA-4 subunit alpha', 'CD49D', 'Integrin alpha-4', 'Integrin alpha-IV', 'CD49 antigen-like family member D']
P05362	['ICAM-1', 'Intercellular adhesion molecule 1', 'Major group rhinovirus receptor']
Q53I07	['Envelope glycoprotein']
P13843	['Fusion glycoprotein F0', 'Fusion glycoprotein F0 precursor']
P00736	['3.4.21.41', 'Complement component 1 subcomponent r', 'Complement C1r subcomponent']
P15692	['Vascular endothelial growth factor A', 'VEGF-A', 'VPF', 'VEGF', 'Vascular permeability factor']
P13688	['BGP-1', 'Carcinoembryonic antigen-related cell adhesion molecule 1', 'BGP1', 'BGP', 'Biliary glycoprotein 1']
Q9BYV1	['Alanine--glyoxylate aminotransferase 2, mitochondrial', '2.6.1.44', 'AGT 2', '(R)-3-amino-2-methylpropionate--pyruvate transaminase', 'Beta-ALAAT II', 'Beta-alanine-pyruvate aminotransferase', 'AGT2', 'D-AIBAT']
Q99259	['Glutamate decarboxylase 67 kDa isoform', '4.1.1.15', 'Glutamate decarboxylase 1', 'GAD67', 'GAD', 'GAD-67', '67 kDa glutamic acid decarboxylase']
P35520	['Cystathionine beta-synthase', 'Serine sulfhydrase', 'Beta-thionase', '4.2.1.22']
Q16719	['Kynureninase', '3.7.1.3', 'L-kynurenine hydrolase']
P34896	['2.1.2.1', 'Serine methylase', 'SHMT', 'Serine hydroxymethyltransferase, cytosolic', 'Glycine hydroxymethyltransferase']
Q9Y697	['NIFS', 'Cysteine desulfurase, mitochondrial', '2.8.1.7']
P17174	['Glutamate oxaloacetate transaminase 1', 'Transaminase A', '2.6.1.1', 'Cysteine aminotransferase, cytoplasmic', 'cCAT', 'Aspartate aminotransferase, cytoplasmic', 'Cysteine transaminase, cytoplasmic', 'cAspAT']
P04181	['2.6.1.13', 'Ornithine delta-aminotransferase', 'Ornithine aminotransferase, mitochondrial', 'Ornithine--oxo-acid aminotransferase']
P11926	['ODC', '4.1.1.17', 'Ornithine decarboxylase']
Q8N5Z0	['Kynurenine--oxoglutarate transaminase II', '2-aminoadipate aminotransferase', 'KAT/AadAT', '2-aminoadipate transaminase', 'Kynurenine aminotransferase II', 'Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial', 'Kynurenine--oxoglutarate aminotransferase II', 'Alpha-aminoadipate aminotransferase', 'AadAT', 'KAT2', 'Kynurenine--oxoglutarate transaminase 2']
P80404	['4-aminobutyrate aminotransferase, mitochondrial', 'GABA-AT', 'GABA transaminase', 'L-AIBAT', 'GABAT', 'GABA-T', 'Gamma-amino-N-butyrate transaminase', '2.6.1.19', 'GABA aminotransferase', '(S)-3-amino-2-methylpropionate transaminase']
Q9NVS9	['Pyridoxamine-phosphate oxidase', "Pyridoxine-5'-phosphate oxidase", '1.4.3.5']
O95470	['KIAA1252', 'Sphingosine-1-phosphate aldolase', '4.1.2.27', 'Sphingosine-1-phosphate lyase 1', 'S1PL']
P17735	['2.6.1.5', 'TAT', 'Tyrosine aminotransferase', 'L-tyrosine:2-oxoglutarate aminotransferase']
Q16773	['GTK', 'Kynurenine--oxoglutarate transaminase I', 'Kynurenine--oxoglutarate transaminase 1', '2.6.1.7', 'Glutamine--phenylpyruvate transaminase', 'Kynurenine aminotransferase I', 'Glutamine transaminase K', 'Cysteine-S-conjugate beta-lyase', 'KATI']
O15270	['LCB2a', 'KIAA0526', '2.3.1.50', 'Serine palmitoyltransferase 2', 'Long chain base biosynthesis protein 2', 'Serine-palmitoyl-CoA transferase 2', 'Long chain base biosynthesis protein 2a', 'LCB 2', 'SPT 2', 'LCB2']
Q9Y600	['CSD', 'Sulfinoalanine decarboxylase', '4.1.1.29', 'Cysteine-sulfinate decarboxylase', 'Cysteine sulfinic acid decarboxylase']
P19113	['Histidine decarboxylase', '4.1.1.22', 'HDC']
Q96A70	['AzI2', 'ODCP', 'Ornithine decarboxylase-like protein', 'Arginine decarboxylase', 'Antizyme inhibitor 2', 'KIAA1945', 'ornithine decarboxylase paralog', 'ARGDC', 'ODC-like protein', 'ODC-p', 'ADC']
P20132	['L-serine deaminase', 'SDH', 'L-serine dehydratase/L-threonine deaminase', '4.3.1.17', 'TDH', 'L-threonine dehydratase']
O75600	['AKB ligase', '2.3.1.29', '2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial', 'KBL', 'Aminoacetone synthase', 'Glycine acetyltransferase']
P23378	['GCSP', 'Glycine decarboxylase', '1.4.4.2', 'Glycine dehydrogenase (aminomethyl-transferring)', 'Glycine cleavage system P protein', 'Glycine dehydrogenase (decarboxylating), mitochondrial']
P24298	['GPT1', '2.6.1.2', 'GPT 1', 'Glutamic--pyruvic transaminase 1', 'Glutamate pyruvate transaminase 1', 'ALT1', 'AAT1', 'Alanine aminotransferase 1', 'Glutamic--alanine transaminase 1']
Q9Y617	['Phosphohydroxythreonine aminotransferase', 'PSA', '2.6.1.52', 'PSAT', 'Phosphoserine aminotransferase']
P13196	['2.3.1.37', '5-aminolevulinic acid synthase 1', '5-aminolevulinate synthase, nonspecific, mitochondrial', 'Delta-ALA synthase 1', 'Delta-aminolevulinate synthase 1', 'ALAS3', 'ALASH', 'ALAS-H']
P21549	['Alanine--glyoxylate aminotransferase', 'AGT1', 'AGT', '2.6.1.51', 'SPAT', 'Serine--pyruvate aminotransferase', 'SPT']
Q96GD0	['Chronophin', 'CIN', 'PLPP', '3.1.3.3', 'PLP phosphatase', 'PLP', 'Pyridoxal phosphate phosphatase']
O15269	['LCB1', 'Serine-palmitoyl-CoA transferase 1', 'SPT1', '2.3.1.50', 'Serine palmitoyltransferase 1', 'SPT 1', 'LCB 1', 'Long chain base biosynthesis protein 1']
P32929	['4.4.1.1', 'Cysteine-protein sulfhydrase', 'Gamma-cystathionase', 'Cystathionine gamma-lyase']
P54687	['ECA39', '2.6.1.42', 'Protein ECA39', 'Branched-chain-amino-acid aminotransferase, cytosolic', 'BCT1', 'BCAT(c)']
O15382	['BCT2', '2.6.1.42', 'PP18', 'ECA40', 'Placental protein 18', 'BCAT(m)', 'Branched-chain-amino-acid aminotransferase, mitochondrial', 'BCATM']
O94903	['Proline synthase co-transcribed bacterial homolog protein']
P00505	['Plasma membrane-associated fatty acid-binding protein', 'Transaminase A', 'FABPpm', 'Fatty acid-binding protein', 'Aspartate aminotransferase, mitochondrial', 'Kynurenine--oxoglutarate transaminase 4', 'Kynurenine aminotransferase 4', 'Kynurenine aminotransferase IV', 'Kynurenine--oxoglutarate transaminase IV', '2.6.1.1', 'FABP-1', 'Glutamate oxaloacetate transaminase 2', 'mAspAT']
P11216	['2.4.1.1', 'Glycogen phosphorylase, brain form']
P11217	['2.4.1.1', 'Myophosphorylase', 'Glycogen phosphorylase, muscle form']
P20711	['DOPA decarboxylase', 'Aromatic-L-amino-acid decarboxylase', 'AADC', '4.1.1.28', 'DDC']
Q2TU84	['Aspartate aminotransferase', '2.6.1.1']
Q53ET4	['2.1.2.1', 'Serine hydroxymethyltransferase']
Q59FK2	['Selenocysteine lyase variant']
Q59GM9	['2.4.1.1', 'Alpha-1,4 glucan phosphorylase']
Q5JAM2	['Delta-ALA synthase', '2.3.1.37', '5-aminolevulinate synthase', 'Delta-aminolevulinate synthase', '5-aminolevulinic acid synthase']
Q5VZ30	['Glutamate decarboxylase 2 (Pancreatic islets and brain, 65kDa)', 'Glutamate decarboxylase 2 (Pancreatic islets and brain, 65kDa), isoform CRA_b']
Q6IBS8	['DDC protein']
Q6YP21	['KAT3', 'Kynurenine--glyoxylate transaminase', 'Kynurenine--oxoglutarate transaminase 3', '2.6.1.7', 'Kynurenine--oxoglutarate transaminase III', 'KATIII', 'Kynurenine aminotransferase III', 'Cysteine-S-conjugate beta-lyase 2']
Q6ZQY3	['Glutamate decarboxylase-like protein 1', 'HuADC', 'Cysteine sulfinic acid decarboxylase', 'HuCSADC', 'Acidic amino acid decarboxylase GADL1', 'CSADC', 'Aspartate 1-decarboxylase', 'ADC']
Q96I15	['4.4.1.16', 'Selenocysteine lyase', 'SCL', 'hSCL']
