C0000886	['棘细胞', '棘红细胞', '刺激细胞']
C0026238	['心脏线粒体', '心肌线粒体']
C0026239	['肝线粒体']
C0026240	['肌肉线粒体', '肌肉线粒体']
C0026258	['有丝分裂器', '有丝分裂纺锤体', '有丝分裂纺锤体', '有丝分裂纺锤体']
C0026473	['血单核细胞', '单核细胞', '单核细胞', '单核细胞', '单核细胞', '单核细胞']
C0026608	['运动终板']
C0026609	['运动神经元', '运动神经元', '运动神经元', '运动神经元', '运动神经元', '运动神经元', '运动神经元', '运动神经元']
C0026610	[]
C0026973	['髓鞘', '髓鞘', '髓鞘', '髓鞘', '髓鞘', '髓鞘', '有髓']
C0027075	['肌原纤维', '肌原纤维', '肌原纤维', '肌原纤维']
C0027625	['循环肿瘤细胞', '循环肿瘤细胞', '循环肿瘤细胞', '反恐委员会']
C0027747	['神经末梢', '神经末梢', '神经末梢', '神经末梢', '神经末梢', '神经末梢', '末梢神经']
C0027749	['纤维神经', '神经纤维', '神经纤维', '神经纤维', '神经纤维', '神经纤维', '神经纤维', '神经纤维']
C0027750	['有髓神经纤维', '有髓神经纤维']
C0027829	['神经原纤维', '神经原纤维']
C0027834	['神经丝', '神经丝', '神经细丝', '神经丝']
C0027836	['胶质细胞', '胶质细胞', '神经胶质', '神经胶质', '胶质细胞', '胶质细胞', '胶质细胞', '神经胶质细胞', '胶质细胞', '胶质的', '神经胶质', '神经胶质', '神经胶质细胞', '神经胶质细胞', '非神经细胞']
C0027869	['神经肌肉接头', '神经肌肉接头', '神经肌肉接头', '神经肌肉接头', '神经肌肉接头', 'NMJ']
C0027882	['神经细胞', '神经细胞', '神经细胞', '神经细胞', '神经细胞', '神经细胞', '神经细胞', '神经细胞', '神经元', '神经元', '神经元', '神经元', '神经元']
C0027883	['传入神经元', '传入神经元', '感觉神经元', '感觉神经元', '感觉神经元']
C0027884	['传出神经', '运动神经元', '运动神经元']
C0027950	['血液中性粒细胞', '中性粒细胞', '中性粒细胞', '中性粒细胞', '中性粒细胞', '中性白细胞', '中性白细胞', '中性粒细胞', '多形', '多形核细胞', '多形核细胞', '多形核白细胞', '多形核白细胞', '多形核白细胞', '多形核白细胞', '多形核白细胞', '多形核中性粒细胞', '多形核中性粒细胞', '多形核中性粒细胞', '多形核中性粒细胞', '多晶型']
C0028117	['日产车身', '日产车身']
C0028581	['核基质', '核基质', '核基质', '核支架', '核骨架', '核骨架']
C0028584	['核膜', '核膜', '核膜', '核膜', '核膜']
C0028587	['核孔', '核孔', '核孔', '核孔']
C0028609	['也没有', '核仁组成区']
C0028875	['成牙本质细胞', '成牙本质细胞', '成牙本质细胞', '成牙本质细胞']
C0028876	['成牙细胞']
C0028944	['少突胶质细胞', '少突胶质细胞', '少突胶质细胞', '少突胶质细胞', '少突胶质细胞', '少突胶质细胞']
C0029045	['卵母细胞', '卵母细胞', '卵母细胞']
C0029048	['卵原细胞']
C0029219	['细胞器', '细胞器', '细胞器', '细胞器']
C0029330	[]
C0029418	['成骨细胞', '成骨细胞', '成骨细胞', '成骨细胞']
C0029431	['破骨细胞', '破骨细胞', '破骨细胞', '破骨细胞']
C0029432	['骨细胞', '骨细胞', '骨细胞', '骨细胞', '骨细胞']
C0029974	['卵细胞', '鸡蛋', '雌配子', '雌配子', '人卵', '卵母细胞', 'Ova', 'ova', '卵子', '卵子']
C0030280	['阿尔法细胞', '胰腺α细胞', '胰腺α细胞']
C0030281	['β细胞', 'β细胞', '胰腺β细胞', '胰腺β细胞', '胰腺β细胞', '胰腺β细胞']
C0030559	['胃壁细胞', '壁细胞', '壁细胞']
C0031307	['变形金刚', '吞噬细胞', '吞噬细胞', '吞噬细胞', '吞噬细胞', '吞噬细胞', '吞噬细胞']
C0031309	['吞噬体', '吞噬体']
C0031310	['吞噬体', '吞噬体']
C0031760	['感光细胞', '感光细胞', '感光器', '感光器', '光受体', '光感受器']
C0031921	['菌毛', '菌毛', '菌毛', '菌毛']
C0032112	['细胞浆', '浆细胞', '浆细胞', '浆细胞', '浆细胞', '浆细胞', '浆细胞', '浆细胞', '浆细胞', '浆细胞', '浆细胞']
C0032592	['多核糖体', '多聚核糖体', '多聚体', '多聚体']
C0033416	['早幼粒细胞', '前髓细胞']
C0033731	['原生质体', '原生质体', '原生质体']
C0033827	['伪足', '伪足', '伪足', '伪足']
C0034143	['小脑浦肯野细胞', '小脑浦肯野细胞', '浦肯野细胞', '浦肯野细胞', '浦肯野细胞', '浦肯野细胞', '浦肯野细胞', '浦肯野神经元', '浦肯野神经细胞']
C0034149	[]
C0034837	['神经受体', '神经受体', '神经受体', '感觉神经元', '感觉神经元', '感觉受体', '感觉受体', '感觉受体', '感觉受体', '感觉受体']
C0034850	['内体', '内体', '内含体']
C0034964	['肌肉再生']
C0035286	['利特', '网织红细胞', '网织红细胞', '网织红细胞', '网织红细胞']
C0035316	['视网膜神经节细胞', '视网膜神经节细胞', '视网膜神经节细胞', '视网膜神经节细胞', '视网膜神经节细胞', '视网膜神经节细胞', '视网膜神经节']
C0035553	['核糖体', '核糖体', '核糖体', '核糖体', '核糖体', '核糖体']
C0035798	['杆外段']
C0036208	['肌膜', '肌膜']
C0036225	['肌节', '肌节', '肌节', '肌节']
C0036226	['肌浆网', '肌浆网', '肌浆网']
C0036387	['雪旺细胞', '雪旺细胞', '雪旺细胞', '雪旺细胞', '雪旺细胞']
C0036770	['支持细胞', '支持细胞', '支持细胞', '支持细胞', '支持细胞', '支持细胞']
C0036867	[]
C0036869	['性染色体', '性染色体', '性染色体', '性染色体', '性染色体', '性染色体']
C0037844	['精子头']
C0037851	['精子鞭毛', '精子尾']
C0037857	['精子细胞', '精子细胞']
C0037863	['精母细胞', '精母细胞']
C0037866	['精原细胞', '精原细胞']
C0037868	['精细胞', '精细胞', '精细胞', '精子', '精子', '精索的', '精子', '精子', '精子', '精子', '精子']
C0037888	['球形细胞', '球形红细胞']
C0037890	['球状体', '球粒体']
C0038027	['孢子', '孢子', '孢子', '孢子']
C0038250	['母细胞', '母细胞', '细胞祖细胞', '细胞祖细胞', '母细胞', '母细胞', '祖细胞', '祖细胞', '祖细胞', '祖细胞', '干细胞', '干细胞', '干细胞', '干细胞', '干细胞', '干细胞']
C0038528	['亚细胞组分']
C0038563	[]
C0038856	['抑制细胞', '抑制细胞', '抑制细胞', '抑制细胞']
C0039063	['突触膜']
C0039065	['突触小泡', '突触小泡', '突触小泡', '突触小泡', '突触小泡', '突触小泡']
C0039066	['联会复合体']
C0039067	['联会神经体', '突触体', '突触体', '突触体', '突触体']
C0039194	['手机，T', '细胞，T', 't细胞', 'T细胞', 'T细胞', 'T细胞', 't细胞', 'T细胞', 'T淋巴细胞', 't淋巴细胞', 'T淋巴细胞', 'T淋巴细胞', 't淋巴细胞', 't细胞', 'T细胞', 'T细胞', 't细胞', 'T细胞', 'T淋巴细胞', 't-淋巴细胞', 'T淋巴细胞', 'T淋巴细胞']
C0039195	['CTL细胞', 'CTL', '细胞毒性T细胞', '细胞毒性T细胞', '细胞毒性T细胞', '细胞毒性T细胞', '细胞毒性T淋巴细胞', '细胞毒性T淋巴细胞', '细胞毒性T淋巴细胞', '细胞毒性T淋巴细胞', '细胞毒性T淋巴细胞', '细胞毒性T淋巴细胞', '杀伤性T细胞', '杀伤性T细胞', 'T细胞毒性细胞', 'Tc电池']
C0039198	['调节性T细胞', '调节性T细胞', '调节性T细胞', '调节性T细胞', '调节性T细胞', 'Treg细胞', 'Treg细胞']
C0039215	['CD4淋巴细胞', 'CD4淋巴细胞', 'CD4+T淋巴细胞', 'CD4+T淋巴细胞', 'CD4阳性T淋巴细胞']
C0039748	['膜细胞', '膜细胞']
C0039821	['热受体', '热感受器']
C0040419	['声调哀叹']
C0041362	[]
C0042219	['空泡的', '液泡', '液泡', '液泡', '液泡']
C0042542	['维罗细胞', '维罗细胞', '猴肾细胞', 'Vero细胞']
C0042760	['病毒颗粒', '病毒颗粒', '病毒粒子', '病毒粒子', '病毒粒子', '病毒粒子', '病毒颗粒', '病毒颗粒', '病毒颗粒', '病毒颗粒', '病毒颗粒']
C0043036	[]
C0043291	[]
C0043292	['X染色体', 'chrX', 'x染色体', 'X染色体', 'X染色体', 'X染色体', 'x染色体']
C0043380	[]
C0043381	['克雷', '男性性染色体', 'y染色体', 'Y染色体', 'Y染色体', 'Y染色体', 'y染色体']
C0043519	['透明带', '透明带', '透明带']
C0055025	[]
C0059882	['常染色质']
C0061622	['糖萼', '糖萼']
C0079722	['直到', '肿瘤浸润淋巴细胞', '肿瘤浸润淋巴细胞', '肿瘤浸润淋巴细胞', '肿瘤浸润性淋巴细胞', '肿瘤浸润淋巴细胞', '肿瘤浸润淋巴细胞']
C0079852	[]
C0080202	['T细胞亚群', 't细胞亚群', 'T细胞亚群', 't细胞亚群', 'T细胞亚群', 'T细胞亚群']
C0080261	[]
C0085080	['中国仓鼠卵巢细胞', '中国仓鼠卵巢细胞', 'CHO细胞', 'CHO细胞', 'CHO细胞', '首席人事官']
C0085087	['3T3电池']
C0085103	['神经突', '神经突', '神经突', '神经突', '神经元投射']
C0085133	['里德-斯特恩伯格细胞']
C0085187	['端粒', '端粒', '端粒', '端粒酶']
C0085200	['路易尸体', '路易尸体', '路易身体', '路易体']
C0085236	['肺泡巨噬细胞', '肺泡巨噬细胞', '肺泡巨噬细胞', '肺泡巨噬细胞', '肺泡巨噬细胞', '肺泡巨噬细胞']
C0085262	['PC-12', 'PC12细胞', 'PC12细胞', 'PC12细胞']
C0085820	['抗体分泌细胞', '抗体分泌细胞']
C0085983	['肿瘤细胞系', '肿瘤细胞系', '肿瘤细胞系']
C0086031	[]
C0086574	['淋巴细胞', '淋巴细胞', '淋巴细胞', '淋巴细胞']
C0086623	[]
C0086697	[]
C0136979	['藻胆体', '藻胆体', '藻胆体']
C0151776	[]
C0162556	[]
C0162597	['基质细胞', '基质细胞', '基质细胞', '基质细胞', '基质细胞']
C0162771	['剪接体复合体', '剪接体复合体', '剪接体', '剪接体']
C0175996	['细胞内', '原生质']
C0178523	['刷状缘膜']
C0178708	['永生化细胞']
C0178813	[]
C0205708	['细胞包涵体', '细胞包涵体', '细胞内含物', '细胞质包涵体', '细胞质内含物']
C0205715	['格拉纳', '格兰姆']
C0205832	['默克尔细胞', '默克尔细胞', '默克尔细胞', '梅克尔细胞']
C0205867	[]
C0205868	['卫星小区']
C0205869	[]
C0206116	['小胶质细胞', '小胶质细胞', '小胶质细胞', '小胶质细胞', '小胶质细胞', '小胶质细胞']
C0206131	['脂肪细胞', '脂肪细胞', '脂细胞', '脂肪细胞', '脂肪细胞', '脂肪细胞', '脂肪细胞', '脂肪细胞', '脂肪细胞', '脂肪细胞', '脂肪细胞', '脂肪细胞']
C0206152	['细胞移植', '细胞移植', '细胞移植', '细胞移植', '移植细胞', '移植细胞']
C0206181	['轴突终末', '轴突终末', '鲍顿', '突触前波顿', '突触前终末', '突触前终末', '突触波顿', '突触终末']
C0206190	['腹腔巨噬细胞', '腹腔巨噬细胞', '腹腔巨噬细胞', '腹腔巨噬细胞', '腹腔巨噬细胞']
C0206427	['杆状细胞', '视杆细胞', '杆', '杆', '杆子', '杆子']
C0206428	['锥细胞', '圆锥', '椎体', '椎体', '视网膜锥']
C0206436	[]
C0206441	['锥体细胞', '锥体细胞', '锥体细胞', '锥体神经元', '锥体神经元']
C0206511	[]
C0206513	['外毛细胞', '外毛细胞']
C0206523	['质体']
C0206524	['质体', '质体', '质体']
C0221266	[]
C0221279	['棘细胞', '棘细胞']
C0221280	[]
C0221282	['分裂细胞', '分裂细胞', '分裂细胞', '分裂细胞']
C0221283	['镰刀', '镰状细胞', '镰状细胞', '镰状细胞', '镰状细胞', '镰刀', '镰刀', '镰刀']
C0221284	['细胞靶向', '靶细胞', '靶细胞', '靶细胞', '靶细胞']
C0221910	['鳞状细胞', '鳞状细胞', '鳞状细胞', '鳞状细胞', '鳞状细胞', '鳞状上皮细胞']
C0222619	[]
C0222677	['骨细胞', '骨细胞', '骨细胞']
C0222678	[]
C0224522	['滑膜细胞', '滑膜细胞', '滑膜细胞', '滑膜细胞', '滑膜细胞', '滑膜细胞', '滑膜细胞']
C0224523	[]
C0225323	['成脂细胞']
C0225328	['纤维', '纤维']
C0225330	[]
C0225332	['纤维细胞', '纤维细胞', '纤维球']
C0225335	['间皮细胞', '间皮细胞', '间皮细胞']
C0225336	['内皮细胞', '内皮细胞', '内皮细胞', '内皮细胞', '内皮细胞', '内皮细胞']
C0225338	['柱状细胞']
C0225340	['过渡细胞', '过渡细胞', '过渡细胞', '过渡细胞', '移行上皮细胞']
C0225356	['肌上皮细胞', '肌上皮细胞']
C0225360	['肌成纤维细胞', '肌成纤维细胞', '肌成纤维细胞', '肌成纤维细胞']
C0225368	['软骨母细胞', '成软骨细胞']
C0225369	['软骨细胞', '软骨细胞', '软骨细胞', '软骨细胞', '软骨细胞']
C0225466	[]
C0225467	[]
C0225468	[]
C0225667	[]
C0225668	['克拉拉细胞', '俱乐部牢房']
C0225698	['肺泡细胞', '肺泡上皮细胞', '肺泡上皮细胞', '肺泡上皮细胞', '肺细胞', '肺细胞', '肺泡壁细胞', '肺细胞']
C0225699	[]
C0225700	['肺泡II型细胞', '肺泡II型细胞', 'Ⅱ型肺泡上皮细胞']
C0225828	['心肌细胞', '心肌细胞', '心肌细胞', '心肌细胞', '心肌细胞', '心肌细胞', '心肌细胞', '心肌细胞', '心肌细胞', '心肌细胞', '心肌细胞', '心肌细胞', '心肌细胞']
C0227276	['潘尼斯电池', '潘尼斯电池']
C0227525	['肝细胞', '肝细胞', '肝细胞', '肝细胞', '肝实质细胞', '肝细胞', '肝细胞', '肝细胞', '肝实质细胞', '肝细胞', '肝细胞', '肝细胞', '肝细胞']
C0227531	[]
C0227599	['尿路上皮细胞']
C0227650	['球旁细胞', '球旁细胞']
C0227651	['肾小球系膜细胞', '系膜细胞', '系膜细胞', '系膜细胞', '肾小球系膜细胞', '肾系膜细胞', '肾系膜细胞']
C0227693	['伞形细胞']
C0227882	[]
C0227883	[]
C0227884	[]
C0227897	[]
C0228007	[]
C0228008	[]
C0228009	[]
C0228071	['神经节细胞', '神经节细胞', '神经节细胞', '神经节细胞']
C0228072	[]
C0228074	[]
C0228075	[]
C0228076	['髓母细胞']
C0228078	[]
C0228079	[]
C0228080	[]
C0228081	['神经毡', '神经毡']
C0228086	['胶质母细胞']
C0228087	['大胶质细胞', '大胶质细胞']
C0228088	['伯格曼神经胶质', '伯格曼胶质细胞']
C0228089	[]
C0228090	[]
C0228091	[]
C0228092	['室管膜细胞', '室管膜细胞', '室管膜细胞', '室管膜细胞']
C0228107	['自由神经末梢']
C0228129	[]
C0228442	[]
C0228471	[]
C0228473	[]
C0229130	[]
C0229213	[]
C0229215	[]
C0229216	['无长突细胞', '无长突细胞', '无长突细胞', '无长突细胞']
C0229423	['乳突细胞']
C0229424	[]
C0229425	[]
C0229426	[]
C0229470	[]
C0229471	['支撑细胞']
C0229472	[]
C0229473	['细胞清除', '透明细胞', '透明细胞', '透明细胞']
C0229493	[]
C0229521	[]
C0229525	['内分泌细胞', '内分泌细胞']
C0229535	['垂体细胞']
C0229536	[]
C0229537	[]
C0229538	[]
C0229541	[]
C0229542	[]
C0229543	[]
C0229545	['垂体细胞']
C0229568	[]
C0229571	[]
C0229572	[]
